Customer_ID,Age,Gender,City,Annual_Income_INR,Purchase_Frequency,Average_Order_Value_INR,Annual_Spend_INR,Recency_Days,Online_Purchase_Ratio,Discount_Usage_Ratio,Preferred_Category,Loyalty_Score,Cluster,Segment
CUST0001,37,Male,Pune,83213.0,13,300.0,4398.0,73,0.82,0.33,Electronics,72.0,0,Deal-Driven Shoppers
CUST0002,31,Female,Lucknow,66791.0,21,1962.0,46546.0,43,0.82,0.15,Beauty,65.6,2,High-Value Loyalists
CUST0003,29,Male,Hyderabad,80462.0,4,1906.0,8277.0,56,0.9,0.33,Beauty,50.6,0,Deal-Driven Shoppers
CUST0004,31,Female,Lucknow,128020.0,16,3384.0,53800.0,57,0.65,0.42,Sports,56.5,1,At-Risk / Inactive
CUST0005,28,Female,Bengaluru,155520.0,5,3090.0,17747.0,78,0.51,0.53,Sports,38.8,1,At-Risk / Inactive
CUST0006,32,Female,Mumbai,64779.0,5,2489.0,11914.0,2,0.59,0.53,Home,43.8,0,Deal-Driven Shoppers
CUST0007,46,Male,Bengaluru,67179.0,11,3914.0,40848.0,44,0.72,0.19,Sports,45.6,1,At-Risk / Inactive
CUST0008,41,Female,Lucknow,70206.0,18,300.0,4829.0,22,0.47,0.42,Electronics,57.4,0,Deal-Driven Shoppers
CUST0009,38,Male,Lucknow,59846.0,4,2454.0,9723.0,115,0.46,0.1,Beauty,11.4,1,At-Risk / Inactive
CUST0010,19,Male,Mumbai,93980.0,28,2486.0,71851.0,8,0.77,0.24,Home,89.1,2,High-Value Loyalists
CUST0011,18,Male,Delhi NCR,72690.0,8,3380.0,25468.0,58,0.61,0.2,Electronics,41.4,1,At-Risk / Inactive
CUST0012,38,Female,Lucknow,123873.0,12,2366.0,30200.0,64,0.66,0.09,Electronics,56.4,1,At-Risk / Inactive
CUST0013,35,Female,Hyderabad,151671.0,11,3444.0,41349.0,19,0.72,0.49,Sports,57.7,1,At-Risk / Inactive
CUST0014,24,Other,Lucknow,61432.0,16,826.0,11258.0,46,0.33,0.39,Beauty,57.8,0,Deal-Driven Shoppers
CUST0015,36,Male,Pune,31816.0,4,2373.0,8149.0,68,0.88,0.36,Sports,43.0,0,Deal-Driven Shoppers
CUST0016,22,Male,Pune,37417.0,7,2824.0,21411.0,85,0.52,0.1,Home,40.2,1,At-Risk / Inactive
CUST0017,52,Female,Bengaluru,79608.0,18,2122.0,36141.0,47,0.92,0.11,Beauty,80.6,2,High-Value Loyalists
CUST0018,25,Male,Lucknow,99563.0,11,2259.0,25843.0,35,0.42,0.16,Sports,61.0,1,At-Risk / Inactive
CUST0019,41,Female,Mumbai,86829.0,24,1572.0,38626.0,25,0.43,0.49,Beauty,74.7,2,High-Value Loyalists
CUST0020,33,Female,Mumbai,55892.0,3,1177.0,3726.0,94,0.86,0.85,Beauty,20.8,0,Deal-Driven Shoppers
CUST0021,41,Male,Pune,94147.0,14,2933.0,41524.0,26,0.12,0.07,Sports,45.4,1,At-Risk / Inactive
CUST0022,50,Female,Hyderabad,56374.0,17,3482.0,51525.0,16,0.81,0.27,Electronics,83.6,2,High-Value Loyalists
CUST0023,52,Female,Mumbai,88965.0,8,1763.0,13608.0,18,0.27,0.61,Fashion,40.2,0,Deal-Driven Shoppers
